champion_id,riot_id,alias,name_en,name_ko,title_en,title_ko,gender,species,region,attack_type,tag_1,tag_2,partype,hp_base,hp_max,mp_base,mp_max,movespeed,armor_base,armor_max,spellblock_base,spellblock_max,attackrange,hpregen_base,hpregen_max,mpregen_base,mpregen_max,crit_base,crit_max,attackdamage_base,attackdamage_max,attackspeed_base,attackspeed_max,image_path
109,141,Kayn,Kayn,케인,the Shadow Reaper,그림자 사신,Male,Human / Darkin,Ionia,melee,Fighter,Assassin,Mana,655,2406,410,1260,340,38,114.5,32,66.85,175,8,20.75,11.5,27.65,0,0,68,68,0.669,0.9761,141.png
110,142,Zoe,Zoe,조이,the Aspect of Twilight,여명의 성위,Female,Human / Celestial,Targon,ranged,Mage,,Mana,630,2432,425,850,340,21,100.9,30,52.1,550,7.5,17.7,8,19.05,0,0,58,58,0.658,0.9377,142.png
111,143,Zyra,Zyra,자이라,Rise of the Thorns,가시 덩굴의 복수,Female,Plant / Spirit,Ixtal,ranged,Mage,Support,Mana,574,2155,418,843,340,29,100.4,30,52.1,575,5.5,14.0,7,20.6,0,0,53,53,0.681,0.9253,143.png
112,145,Kaisa,Kai'Sa,카이사,Daughter of the Void,공허의 딸,Female,Human,The Void,ranged,Marksman,Mage,Mana,640,2374,345,1025,335,25,96.4,30,52.1,525,4,13.35,8.2,20.1,0,0,59,59,0.644,0.8411,145.png
113,147,Seraphine,Seraphine,세라핀,the Starry-Eyed Songstress,노래하는 별,Female,Human,Piltover,ranged,Support,Mage,Mana,570,2185,360,1040,330,26,97.4,30,52.1,525,6.5,16.7,11.5,27.65,0,0,50,50,0.669,0.8965,147.png
114,150,Gnar,Gnar,나르,the Missing Link,잃어버린 고리,Male,Yordle,Freljord,ranged,Fighter,Tank,Rage,540,1883,100,100,335,32,94.9,30,52.1,175,4.5,25.75,0,0,0,0,60,60,0.625,1.2625,150.png
115,154,Zac,Zac,자크,the Secret Weapon,비밀 병기,Male,Mutant / Ooze,Zaun,melee,Tank,Fighter,None,685,2538,0,0,340,33,112.9,32,66.85,175,5,13.5,0,0,0,0,60,60,0.736,0.9362,154.png
116,157,Yasuo,Yasuo,야스오,the Unforgiven,용서받지 못한 자,Male,Human,Ionia,melee,Fighter,Assassin,Flow,590,2460,100,100,345,32,110.2,32,66.85,175,6.5,21.8,0,0,0,0,60,60,0.697,1.1117,157.png
117,161,Velkoz,Vel'Koz,벨코즈,the Eye of the Void,공허의 눈,Male,VoidBorn,The Void,ranged,Mage,Support,Mana,590,2324,469,826,340,22,101.9,30,52.1,525,5.5,14.85,8,21.6,0,0,55,55,0.643,0.8168,161.png
118,163,Taliyah,Taliyah,탈리야,the Stoneweaver,바위술사,Female,Human,Shurima,ranged,Mage,Support,Mana,550,2318,470,980,330,18,97.9,28,50.1,525,6.5,17.55,8,21.6,0,0,58,58,0.658,0.8101,163.png
119,164,Camille,Camille,카밀,the Steel Shadow,강철의 그림자,Female,Cyborg / Mech,Piltover,melee,Fighter,Assassin,Mana,650,2333,339,1223,340,35,111.5,32,66.85,125,8.5,22.1,8.15,20.9,0,0,68,68,0.644,0.9177,164.png
120,166,Akshan,Akshan,아크샨,the Rogue Sentinel,떠도는 감시자,Male,Human,Shurima,ranged,Marksman,Assassin,Mana,610,2429,350,1030,330,26,105.9,30,52.1,500,3.75,14.8,8.2,20.1,0,0,52,52,0.638,1.0718,166.png
121,200,Belveth,Bel'Veth,벨베스,the Empress of the Void,공허의 여제,Female,VoidBorn,The Void,melee,Fighter,,None,610,2395,60,60,340,32,111.9,32,66.85,150,6,16.2,0,0,0,0,60,60,0.85,0.85,200.png
122,201,Braum,Braum,브라움,the Heart of the Freljord,프렐요드의 심장,Male,Human,Freljord,melee,Tank,Support,Mana,610,2514,311,1076,335,35,120,32,66.85,125,8.5,25.5,7,20.6,0,0,55,55,0.644,1.0272,201.png
123,202,Jhin,Jhin,진,the Virtuoso,잔혹극의 거장,Male,Human,Ionia,ranged,Marksman,Mage,Mana,655,2474,300,1150,330,24,103.9,30,52.1,550,3.75,13.1,6,19.6,0,0,61,61,0.625,0.625,202.png
124,203,Kindred,Kindred,킨드레드,The Eternal Hunters,영겁의 사냥꾼,Other,Spirit / God,Runeterra,ranged,Marksman,,Mana,595,2363,300,895,325,29,108.9,30,52.1,500,7,16.35,7,13.8,0,0,65,65,0.625,0.9969,203.png
125,221,Zeri,Zeri,제리,The Spark of Zaun,자운의 불꽃,Female,Human,Zaun,ranged,Marksman,,Mana,600,2470,250,1015,330,24,95.4,30,52.1,550,3.25,15.15,6,19.6,0,0,56,56,0.658,0.8817,221.png
126,222,Jinx,Jinx,징크스,the Loose Cannon,난폭한 말괄량이,Female,Human,Zaun,ranged,Marksman,,Mana,630,2415,260,1110,325,26,97.4,30,52.1,525,3.75,12.25,6.7,23.7,0,0,59,59,0.625,0.7312,222.png
127,223,TahmKench,Tahm Kench,탐 켄치,The River King,강의 폭군,Male,Demon,Bilgewater,melee,Tank,Support,Mana,640,2391,325,1175,335,39,118.9,32,66.85,175,6.5,15.85,8,25,0,0,56,56,0.658,0.9377,223.png
128,233,Briar,Briar,브라이어,the Restrained Hunger,억눌린 허기,Female,Construct / Golem,Noxus,melee,Fighter,Assassin,Fury,625,2240,0,0,340,30,106.5,32,66.85,125,0,0,0,0,0,0,60,60,0.644,0.863,233.png
129,234,Viego,Viego,비에고,The Ruined King,몰락한 왕,Male,Undead,Shadow Isles,melee,Fighter,Assassin,None,630,2483,0,0,345,34,112.2,32,66.85,200,7,18.9,0,0,0,0,57,57,0.658,0.9656,234.png
130,235,Senna,Senna,세나,the Redeemer,구원자,Female,Human / Spirit,Shadow Isles,ranged,Support,Marksman,Mana,530,2043,350,1115,330,25,93,30,52.1,600,3.5,12.85,11.5,23.4,0,0,50,50,0.625,0.9012,235.png
131,236,Lucian,Lucian,루시안,the Purifier,정화의 사도,Male,Human,Demacia,ranged,Marksman,Assassin,Mana,641,2341,320,1051,335,28,99.4,30,52.1,500,3.75,14.8,7,20.6,0,0,60,60,0.638,0.9092,236.png
132,238,Zed,Zed,제드,the Master of Shadows,그림자의 주인,Male,Human,Ionia,melee,Assassin,,Energy,654,2337,200,200,345,32,111.9,29,63.85,125,7,18.05,50,50,0,0,63,63,0.651,1.0162,238.png
133,240,Kled,Kled,클레드,the Cantankerous Cavalier,망나니 기사,Male,Yordle,Noxus,melee,Fighter,,Courage,410,1838,100,100,345,35,123.4,28,62.85,125,6,18.75,0,0,0,0,65,65,0.625,0.9969,240.png
134,245,Ekko,Ekko,에코,the Boy Who Shattered Time,시간을 달리는 소년,Male,Human,Zaun,melee,Assassin,Mage,Mana,655,2338,280,1470,340,32,103.4,32,66.85,125,9,24.3,7,20.6,0,0,58,58,0.688,1.074,245.png
135,246,Qiyana,Qiyana,키아나,Empress of the Elements,원소의 여왕,Female,Human,Ixtal,melee,Assassin,,Mana,590,2545,375,1395,335,31,107.5,32,66.85,150,8,23.3,8,19.9,0,0,64,64,0.688,0.9336,246.png
136,254,Vi,Vi,바이,the Piltover Enforcer,필트오버의 집행자,Female,Human,Piltover,melee,Fighter,Assassin,Mana,655,2440,295,1400,340,30,109.9,32,66.85,125,10,27,8,19.05,0,0,63,63,0.644,0.863,254.png
137,266,Aatrox,Aatrox,아트록스,the Darkin Blade,다르킨의 검,Male,Darkin,Runeterra,melee,Fighter,,Blood Well,650,2588,0,0,345,38,119.6,32,66.85,175,3,11.5,0,0,0,0,60,60,0.651,0.9277,266.png
138,267,Nami,Nami,나미,the Tidecaller,파도 소환사,Female,Vastaya,Runeterra,ranged,Support,Mage,Mana,560,2056,365,1096,335,29,117.4,30,52.1,550,5.5,14.85,11.5,18.3,0,0,54,54,0.644,0.9297,267.png
139,268,Azir,Azir,아지르,the Emperor of the Sands,사막의 황제,Male,God-Warrior / Ascended,Shurima,ranged,Mage,Marksman,Mana,575,2411,320,1000,330,25,110,30,52.1,525,7,19.75,8,21.6,0,0,56,56,0.625,1.1562,268.png
140,350,Yuumi,Yuumi,유미,the Magical Cat,마법 고양이,Female,Cat / Magical,Bandle City,ranged,Support,Mage,Mana,500,1673,440,1205,330,25,96.4,25,43.7,425,5,14.35,10,16.8,0,0,49,49,0.625,0.7312,350.png
141,360,Samira,Samira,사미라,the Desert Rose,사막의 장미,Female,Human,Noxus,ranged,Marksman,Assassin,Mana,630,2466,349,995,335,26,105.9,30,52.1,500,3.25,12.6,8.2,20.1,0,0,57,57,0.658,1.0271,360.png
142,412,Thresh,Thresh,쓰레쉬,the Chain Warden,지옥의 간수,Male,Undead,Shadow Isles,ranged,Support,Tank,Mana,620,2660,274,1022,330,33,33,30,56.35,450,7,16.35,6,19.6,0,0,56,56,0.625,0.9969,412.png
143,420,Illaoi,Illaoi,일라오이,the Kraken Priestess,크라켄의 여사제,Female,Human,Bilgewater,melee,Fighter,Tank,Mana,656,2611,350,1200,350,35,120,32,66.85,125,9.5,23.1,7.5,20.25,0,0,65,65,0.625,0.8906,420.png
144,421,RekSai,Rek'Sai,렉사이,the Void Burrower,공허의 복병,Female,VoidBorn,The Void,melee,Fighter,Tank,Rage,600,2283,100,100,340,35,111.5,32,66.85,175,2.5,11.0,0,0,0,0,62,62,0.667,0.8938,421.png
145,427,Ivern,Ivern,아이번,the Green Father,자연의 아버지,Male,Human / Tree,Ionia,ranged,Support,Mage,Mana,630,2313,450,1470,330,27,106.9,30,52.1,475,7,21.45,6,18.75,0,0,50,50,0.644,1.0162,427.png
146,429,Kalista,Kalista,칼리스타,the Spear of Vengeance,복수의 화신,Female,Undead / Spirit,Shadow Isles,ranged,Marksman,,Mana,560,2498,300,1065,330,24,112.4,30,52.1,525,4,16.75,6.3,19.9,0,0,57,57,0.694,1.2249,429.png
147,432,Bard,Bard,바드,the Wandering Caretaker,영겁의 수호자,Male,Celestial,Runeterra,ranged,Support,Mage,Mana,630,2381,350,1200,335,34,119,30,52.1,500,5.5,14.85,6,13.65,0,0,52,52,0.658,0.8817,432.png
148,497,Rakan,Rakan,라칸,The Charmer,매혹하는 자,Male,Vastaya,Ionia,melee,Support,,Mana,610,2293,315,1165,335,30,113.3,32,66.85,300,5,13.5,8.75,17.25,0,0,62,62,0.635,0.9588,497.png
149,498,Xayah,Xayah,자야,the Rebel,저항하는 자,Female,Vastaya,Ionia,ranged,Marksman,,Mana,630,2449,340,1020,330,25,96.4,30,52.1,525,3.25,16.0,8.25,21.85,0,0,60,60,0.658,1.0943,498.png
150,516,Ornn,Ornn,오른,The Fire below the Mountain,거산의 화염,Male,Spirit / God,Freljord,melee,Tank,,Mana,660,2513,341,1446,335,33,121.4,32,66.85,175,9,24.3,8,18.2,0,0,69,69,0.625,0.8375,516.png
151,517,Sylas,Sylas,사일러스,the Unshackled,해방된 자,Male,Human,Demacia,melee,Mage,Assassin,Mana,600,2674,400,1590,340,29,117.4,32,75.35,175,9,24.3,8,21.6,0,0,61,61,0.645,1.0288,517.png
152,518,Neeko,Neeko,니코,the Curious Chameleon,알쏭달쏭 카멜레온,Female,Vastaya,Ixtal,ranged,Mage,Support,Mana,610,2378,450,960,340,21,109.4,30,52.1,550,7.5,20.25,7,18.9,0,0,48,48,0.625,0.9969,518.png
153,523,Aphelios,Aphelios,아펠리오스,the Weapon of the Faithful,신념의 무기,Male,Human,Targon,ranged,Marksman,,Mana,600,2334,348,1062,325,26,97.4,30,52.1,550,3.25,12.6,6.5,13.3,0,0,55,55,0.665,0.9024,523.png
154,526,Rell,Rell,렐,the Iron Maiden,철의 여인,Female,Human,Noxus,melee,Tank,Support,Mana,620,2388,320,1000,315,30,98,28,58.6,175,7.5,21.95,7,18.9,0,0,55,55,0.625,0.8375,526.png
155,555,Pyke,Pyke,파이크,the Bloodharbor Ripper,핏빛 항구의 학살자,Male,Undead,Bilgewater,melee,Support,Assassin,Mana,670,2540,415,1265,330,37,116.9,32,66.85,150,7,15.5,8,25,0,0,62,62,0.667,0.9505,555.png
156,711,Vex,Vex,벡스,the Gloomist,우울주의자,Female,Yordle,Shadow Isles,ranged,Mage,,Mana,590,2358,490,1034,335,23,98.65,28,50.1,550,6.5,16.7,6,19.6,0,0,54,54,0.669,0.7827,711.png
157,777,Yone,Yone,요네,the Unforgotten,잊히지 못한 자,Male,Human / Spirit,Ionia,melee,Fighter,Assassin,Flow,620,2405,500,500,345,33,111.2,32,66.85,175,7.5,20.25,0,0,0,0,62,62,0.625,0.9969,777.png
158,799,Ambessa,Ambessa,암베사,Matriarch of War,전장의 우두머리,Female,Human,Noxus,melee,Fighter,Assassin,Energy,630,2500,200,200,335,35,118.3,32,66.85,125,8.5,21.25,50,50,0,0,63,63,0.625,0.8906,799.png
159,800,Mel,Mel,멜,the Soul's Reflection,영혼의 반향,Other,Human,Runeterra,ranged,Mage,Support,Mana,630,2313,480,956,330,21,109.4,30,52.1,550,6,15.35,9,24.3,0,0,54,54,0.625,0.8906,800.png
160,804,Yunara,Yunara,유나라,the Unbroken Faith,꺾이지 않는 신념,Other,Human,Runeterra,ranged,Marksman,,Mana,590,2460,275,1040,325,25,99.8,30,52.1,575,4,13.35,7.5,20.25,0,0,55,55,0.65,0.871,804.png
161,805,Locke,Locke,로크,the Ashen Exorcist,잿빛 퇴마사,Other,Human,Runeterra,melee,Assassin,Mage,Mana,655,2508,280,1470,340,32,103.4,32,66.85,125,9,24.3,7,20.6,0,0,58,58,0.688,1.074,805.png
162,875,Sett,Sett,세트,the Boss,우두머리,Male,Human / Vastaya,Ionia,melee,Fighter,Tank,Grit,670,2608,0,0,340,33,112.9,28,62.85,125,7,15.5,0,0,0,0,60,60,0.625,0.8109,875.png
163,876,Lillia,Lillia,릴리아,the Bashful Bloom,수줍은 꽃,Female,Spirit,Ionia,melee,Fighter,Mage,Mana,605,2390,410,1260,330,22,98.5,32,58.35,325,2.5,11.85,11.5,27.65,0,0,61,61,0.625,0.9119,876.png
164,887,Gwen,Gwen,그웬,The Hallowed Seamstress,신성한 재봉사,Female,Human / Doll,Shadow Isles,melee,Fighter,,Mana,620,2575,330,1010,340,39,122.3,32,66.85,150,9,24.3,7.5,19.4,0,0,63,63,0.69,0.9539,887.png
165,888,Renata,Renata Glasc,레나타 글라스크,the Chem-Baroness,화공 남작,Female,Human,Zaun,ranged,Support,Mage,Mana,545,2143,350,1200,330,27,106.9,30,52.1,550,5.5,14.85,11.5,20.0,0,0,49,49,0.625,0.8492,888.png
166,893,Aurora,Aurora,오로라,the Witch Between Worlds,세계의 경계에 선 마녀,Female,Vastaya,Freljord,ranged,Mage,Assassin,Mana,607,2477,475,985,335,23,99.5,32,54.1,550,6,15.35,8,21.6,0,0,53,53,0.668,0.8951,893.png
167,895,Nilah,Nilah,닐라,the Joy Unbound,해방된 기쁨,Female,Human,Bilgewater,melee,Fighter,Assassin,Mana,570,2287,350,945,340,27,98.4,32,66.85,225,6,21.3,8.2,20.1,0,0,58,58,0.697,0.8451,895.png
168,897,KSante,K'Sante,크산테,the Pride of Nazumah,나주마의 긍지,Male,Human,Shurima,melee,Tank,Fighter,Mana,625,2665,320,1340,330,36,124.4,30,65.7,150,9.5,26.5,7,24,0,0,64,64,0.688,0.9804,897.png
169,901,Smolder,Smolder,스몰더,the Fiery Fledgling,꼬마 불꽃용,Male,Dragon,Camavor,ranged,Marksman,Mage,Mana,575,2275,300,980,330,24,92,30,52.1,550,3.75,13.95,8.5,20.4,0,0,58,58,0.638,1.0718,901.png
170,902,Milio,Milio,밀리오,The Gentle Flame,온화한 불꽃,Male,Human,Ixtal,ranged,Support,Mage,Mana,560,2056,365,1096,330,26,104.2,30,52.1,525,5,13.5,11.5,18.3,0,0,48,48,0.625,0.9437,902.png
171,904,Zaahen,Zaahen,자헨,The Unsundered,저물지 않는 자,Other,Human,Runeterra,melee,Fighter,Assassin,Mana,640,2578,350,1285,345,36,121,32,66.85,175,7.5,21.1,8.15,20.9,0,0,63,63,0.625,0.8906,904.png
172,910,Hwei,Hwei,흐웨이,the Visionary,몽상가,Male,Human,Ionia,ranged,Mage,Support,Mana,580,2433,480,990,330,21,100.9,30,52.1,550,5.5,14.85,7.5,20.25,0,0,54,54,0.69,0.9832,910.png
173,950,Naafiri,Naafiri,나피리,the Hound of a Hundred Bites,백 번 무는 사냥개,Female,Darkin,Shurima,melee,Assassin,Fighter,Mana,610,2395,400,1335,340,28,99.4,32,66.85,125,6.25,16.45,7.5,24.5,0,0,55,55,0.663,0.8997,950.png
